Symbol,Name,MeltingPoint,SpecificGravity
Ag,Silver (fine),1762,10.6
Al,Aluminum,1220,2.7
Au,Gold (fine),1945,19.3
Bi,Bismuth,520,9.8
Cd,Cadmium,610,8.7
Cr,Chromium,3434,6.9
Cu,Copper,1981,8.9
Fe,Iron,2793,7.9
Mg,Magnesium,1204,1.7
Ni,Nickel,2651,8.8
Pb,Lead,621,11.3
Pd,Palladium,2820,12.2
Pt,Platinum,3225,21.4
Sb,Antimony,1168,6.6
Sn,Tin,450,7.3
Ti,Titanium,3272,4.5
Zn,Zinc,786,7.1
